@relation SemanalAcumulada_18

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric

@data
91311558,3,0,0,0,0,0,0,0,0
91311558,4,2,4,1,1,1,0,0,3
91311558,5,6,11,1,2,1,0,1,5
91311558,6,8,17,3,2,2,0,1,8
91311558,7,10,23,5,3,2,0,1,11
91311558,8,16,30,8,4,2,1,1,16
91311558,9,19,34,10,4,2,1,1,18
91311558,10,22,39,10,5,2,1,2,20
91311558,11,23,44,10,6,2,1,2,21
91311558,12,25,51,11,6,2,1,2,22
91311558,13,27,56,12,7,3,1,2,25
91311558,14,31,60,12,8,3,1,2,26
91311558,15,33,65,12,9,3,2,2,28
91311558,16,34,68,12,9,3,2,2,28
91311558,17,36,72,12,9,3,2,2,28
91311558,18,40,76,12,9,3,2,2,28
91311299,1,0,2,0,0,0,0,0,0
91311299,2,1,6,1,0,0,0,0,1
91311299,3,3,11,5,0,0,1,1,7
91311299,4,4,15,5,1,0,1,2,9
91311299,5,9,20,6,2,0,1,3,12
91311299,6,10,24,7,3,0,1,4,15
91311299,7,13,29,10,3,2,1,4,20
91311299,8,15,36,10,4,2,2,4,22
91311299,9,17,39,13,4,5,2,4,28
91311299,10,17,45,13,4,5,2,4,28
91311299,11,19,52,13,5,5,2,5,30
91311299,12,21,57,14,5,6,2,5,32
91311299,13,21,64,14,5,6,2,5,32
91311299,14,24,71,15,6,6,2,5,34
91311299,15,29,77,18,7,6,3,6,40
91311299,16,30,80,18,7,6,3,7,41
91311299,17,32,84,18,7,6,3,8,42
91311299,18,34,87,20,7,7,3,8,45
91311300,1,1,1,0,0,0,0,0,0
91311300,2,3,5,0,0,0,1,0,1
91311300,3,6,9,3,1,0,1,1,6
91311300,4,11,14,8,2,2,1,2,15
91311300,5,14,18,10,3,5,2,3,23
91311300,6,18,22,11,4,5,2,4,26
91311300,7,21,25,13,5,6,2,4,30
91311300,8,23,30,13,6,6,3,4,32
91311300,9,27,34,16,6,6,3,4,35
91311300,10,30,38,18,6,7,3,5,39
91311300,11,35,43,19,7,7,3,6,42
91311300,12,37,46,20,7,8,3,6,44
91311300,13,39,50,22,8,8,3,6,47
