@relation SemanalAcumulada_8-UltimasSemanas_8x2

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91311180,3,16,16,7,3,1,1,1,13,False
91311180,4,21,23,9,4,4,1,1,19,False
91311180,5,27,29,11,5,4,2,2,24,False
91311180,6,31,34,13,6,4,2,3,28,False
91311180,7,36,41,15,7,5,2,3,32,False
91311180,8,38,45,17,8,5,3,3,36,False
91311180,9,37,45,17,7,4,3,3,34,False
91311180,10,35,44,14,6,4,2,3,29,False
91311180,11,36,45,13,6,4,2,3,28,False
91311180,12,34,42,12,5,2,2,3,24,False
91311180,13,32,42,11,4,2,1,2,20,False
91311180,14,33,44,10,4,2,2,1,19,False
91311180,15,34,44,8,4,1,2,2,17,False
91311180,16,35,45,6,3,1,1,2,13,False
91311180,17,37,47,5,3,1,1,2,12,False
91311180,18,41,50,5,3,1,1,2,12,False
91311204,1,0,0,0,0,0,0,0,0,False
91311204,2,3,5,2,1,0,0,0,3,False
91311204,3,7,10,6,2,1,1,1,11,False
91311204,4,11,15,8,2,1,1,2,14,False
91311204,5,16,20,9,2,4,2,3,20,False
91311204,6,19,24,11,2,4,2,4,23,False
91311204,7,23,30,12,3,5,2,4,26,False
91311204,8,26,36,14,4,5,3,4,30,False
91311204,9,28,40,15,4,5,3,4,31,False
91311204,10,29,40,14,4,5,3,5,31,False
91311204,11,28,39,11,4,4,2,5,26,False
91311204,12,28,39,10,5,5,2,4,26,False
91311204,13,26,37,11,5,2,1,3,22,False
91311204,14,25,37,9,6,2,1,2,20,False
91311204,15,24,38,9,6,1,2,3,21,False
91311204,16,23,35,7,5,1,1,4,18,False
91311204,17,23,35,6,5,1,1,4,17,False
91311204,18,22,35,5,4,1,1,3,14,False
91311183,1,0,4,0,0,0,0,0,0,False
91311183,2,2,8,2,0,1,1,0,4,False
91311183,3,5,13,2,1,1,1,0,5,False
91311183,4,8,18,2,1,1,2,1,7,False
91311183,5,12,22,3,1,4,2,2,12,False
91311183,6,14,26,4,1,4,2,3,14,False
91311183,7,17,30,8,1,4,2,3,18,False
91311183,8,22,36,11,2,6,3,3,25,False
91311183,9,24,37,12,2,6,3,3,26,False
91311183,10,25,38,11,2,6,2,3,24,False
91311183,11,25,38,11,2,6,2,4,25,False
91311183,12,25,36,12,2,7,1,3,25,False
91311183,13,21,34,11,2,4,1,2,20,False
91311183,14,19,34,10,2,4,1,1,18,False
91311183,15,19,36,7,3,4,2,1,17,False
91311183,16,15,34,4,2,2,1,2,11,False
91311183,17,14,35,3,2,2,1,2,10,False
91311183,18,13,37,2,2,1,1,2,8,False
91311298,1,2,3,0,1,0,0,0,1,False
91311298,2,5,9,0,2,0,1,0,3,False
91311298,3,11,16,3,3,1,1,1,9,False
