@relation SemanalAcumulada_6-UltimasSemanas_6x1_reprovados

@attribute matricula numeric
@attribute semana numeric
@attribute dias numeric
@attribute diasfora numeric
@attribute foruns numeric
@attribute leituras numeric
@attribute participacoes numeric
@attribute assigns numeric
@attribute quizes numeric
@attribute total numeric
@attribute evasao {False,True}

@data
91111098,14,10,20,3,1,3,0,1,8,False
91111098,15,11,18,2,2,0,1,2,7,False
91111098,16,11,18,2,2,0,1,3,8,False
91111098,17,13,21,4,1,0,1,3,9,False
91111098,18,16,22,3,1,0,1,3,8,False
91311163,1,4,4,2,1,1,0,0,4,False
91311163,2,7,8,4,2,1,1,0,8,False
91311163,3,10,13,4,2,1,1,1,9,False
91311163,4,13,18,5,3,1,1,2,12,False
91311163,5,16,23,6,4,4,1,3,18,False
91311163,6,19,26,7,5,4,1,4,21,False
91311163,7,17,26,6,5,4,1,4,20,False
91311163,8,19,28,5,5,4,1,4,19,False
91311163,9,19,27,5,5,4,1,3,18,False
91311163,10,19,27,4,5,4,1,3,17,False
91311163,11,19,26,4,5,1,1,3,14,False
91311163,12,18,27,4,4,2,1,2,13,False
91311163,13,18,27,3,4,1,1,2,11,False
91311163,14,17,27,2,4,1,1,2,10,False
91311163,15,16,28,2,5,1,1,3,12,False
91311163,16,15,27,2,4,1,1,3,11,False
91311163,17,17,30,1,3,1,1,2,8,False
91311163,18,22,33,0,3,0,1,2,6,False
91311468,1,0,0,0,0,0,0,0,0,False
91311468,2,3,3,0,1,0,0,0,1,False
91311468,3,9,10,2,2,2,1,1,8,False
91311468,4,14,15,3,3,5,2,1,14,False
91311468,5,19,22,4,4,5,2,2,17,False
91311468,6,24,27,5,5,6,2,2,20,False
91311468,7,29,32,7,6,6,3,2,24,False
91311468,8,32,35,9,5,6,3,2,25,False
91311468,9,33,35,11,5,5,2,1,24,False
91311468,10,34,36,13,5,2,1,2,23,False
91311468,11,35,35,14,5,3,1,1,24,False
91311468,12,37,37,15,4,2,1,1,23,False
91311468,13,37,38,17,4,3,1,1,26,False
91311468,14,37,39,17,4,7,1,1,30,False
91311468,15,36,38,16,4,6,1,2,29,False
91311468,16,34,36,15,3,6,1,1,26,False
91311468,17,34,36,15,2,5,1,1,24,False
91311468,18,33,36,14,2,5,1,1,23,False
91311277,1,0,0,0,0,0,0,0,0,False
91311277,2,3,5,1,1,1,1,0,4,False
91311277,3,6,9,1,2,1,1,0,5,False
91311277,4,10,15,2,3,4,1,1,11,False
91311277,5,15,22,3,4,4,1,1,13,False
91311277,6,19,26,4,5,5,1,2,17,False
91311277,7,22,31,5,6,5,1,2,19,False
91311277,8,23,31,4,6,4,1,2,17,False
91311277,9,22,30,4,5,4,1,2,16,False
91311277,10,22,28,4,5,1,1,2,13,False
91311277,11,20,26,3,5,1,1,3,13,False
91311277,12,19,28,3,5,1,1,2,12,False
91311277,13,19,28,2,5,1,1,2,11,False
91311277,14,16,28,2,5,1,0,2,10,False
91311277,15,17,31,2,6,1,1,3,13,False
91311277,16,13,29,1,5,1,1,2,10,False
91311277,17,15,29,1,4,1,1,1,8,False
91311277,18,15,28,0,3,0,1,1,5,False
91311294,1,2,3,1,1,1,0,0,3,False
91311294,2,5,8,2,1,1,0,0,4,False
91311294,3,11,14,5,2,1,1,1,10,False
91311294,4,16,20,7,2,2,1,2,14,False
91311294,5,22,26,8,3,4,2,3,20,False
91311294,6,28,33,10,3,4,2,4,23,False
91311294,7,31,35,10,3,4,2,4,23,False
91311294,8,32,35,10,4,4,3,4,25,False
91311294,9,31,34,7,3,4,2,3,19,False
91311294,10,30,33,5,3,3,2,3,16,False
91311294,11,29,32,6,3,1,1,3,14,False
91311294,12,26,28,5,3,2,1,2,13,False
91311294,13,24,28,6,3,1,1,2,13,False
91311294,14,23,27,6,3,1,1,2,13,False
91311294,15,22,27,6,4,1,1,3,15,False
91311294,16,21,26,8,4,1,1,2,16,False
91311294,17,22,28,6,3,1,1,1,12,False
91311294,18,25,32,5,3,0,1,1,10,False
91311180,1,5,5,2,1,1,0,0,4,False
91311180,2,10,10,5,2,1,1,0,9,False
91311180,3,16,16,7,3,1,1,1,13,False
91311180,4,21,23,9,4,4,1,1,19,False
91311180,5,27,29,11,5,4,2,2,24,False
91311180,6,31,34,13,6,4,2,3,28,False
91311180,7,31,36,13,6,4,2,3,28,False
91311180,8,28,35,12,6,4,2,3,27,False
91311180,9,26,34,12,5,4,2,2,25,False
91311180,10,24,31,10,4,1,2,2,19,False
91311180,11,25,32,9,4,1,1,2,17,False
91311180,12,24,31,8,3,2,1,1,15,False
91311180,13,23,30,7,2,1,1,1,12,False
91311180,14,26,33,6,2,1,1,1,11,False
91311180,15,28,35,4,3,1,1,2,11,False
91311180,16,28,36,4,3,1,1,2,11,False
91311180,17,27,36,4,2,1,1,1,9,False
91311180,18,31,39,3,2,0,1,1,7,False
91311204,1,0,0,0,0,0,0,0,0,False
91311204,2,3,5,2,1,0,0,0,3,False
91311204,3,7,10,6,2,1,1,1,11,False
91311204,4,11,15,8,2,1,1,2,14,False
91311204,5,16,20,9,2,4,2,3,20,False
91311204,6,19,24,11,2,4,2,4,23,False
91311204,7,23,30,12,3,5,2,4,26,False
91311204,8,23,31,12,3,5,3,4,27,False
91311204,9,21,30,9,2,4,2,3,20,False
91311204,10,21,30,8,3,4,2,3,20,False
91311204,11,19,29,8,4,1,1,3,17,False
91311204,12,20,30,7,5,2,1,2,17,False
91311204,13,19,27,8,4,1,1,2,16,False
91311204,14,18,25,6,4,1,0,2,13,False
91311204,15,19,28,6,5,1,1,3,16,False
91311204,16,17,26,5,4,1,1,3,14,False
91311204,17,16,26,4,3,1,1,2,11,False
91311204,18,15,26,3,2,0,1,2,8,False
91311183,1,0,4,0,0,0,0,0,0,False
91311183,2,2,8,2,0,1,1,0,4,False
